Provider,Provider Country,SKU,Developer,Title,Version,Product Type Identifier,Units,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Apple Identifier,Customer Price,Promo Code,Parent Identifier,Subscription,Period
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,1,0,01/05/2013,01/05/2013,EUR,LT,EUR,384101264,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,1,3,0,01/05/2013,01/05/2013,USD,NG,USD,384101264,0, , , , 
APPLE,US,metro.wwfestival.001,Associated Northcliffe Digital Limited,Worldwide Festival,1.0.2,1T,1,0,01/05/2013,01/05/2013,USD,US,USD,537621577,0, , , , 
APPLE,US,placeholder,Associated Northcliffe Digital Limited,MailOnline,1.5.9,7,13,0,01/05/2013,01/05/2013,NZD,NZ,NZD,384101264,0, , , , 
APPLE,US,com.anmedia.whirrld,Associated Northcliffe Digital Limited,whirrld,1.0.1,1T,1,0,01/05/2013,01/05/2013,EUR,IT,EUR,540021449,0, , , , 
APPLE,US,com.anmedia.whirrld,Associated Northcliffe Digital Limited,whirrld,1.0.1,1T,1,0,01/05/2013,01/05/2013,HKD,HK,HKD,540021449,0, , , , 
APPLE,US,inspire001,Associated Northcliffe Digital Limited,YOU INSPIRE,1.3,7T,2,0,01/05/2013,01/05/2013,GBP,GB,GBP,417945164,0, , , , 
APPLE,US,inspire001,Associated Northcliffe Digital Limited,YOU INSPIRE,1.3,1T,1,0,01/05/2013,01/05/2013,USD,SN,USD,417945164,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,12,0,01/05/2013,01/05/2013,CHF,CH,CHF,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,4,0,01/05/2013,01/05/2013,EUR,SI,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,139,0,01/05/2013,01/05/2013,EUR,IE,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,6,0,01/05/2013,01/05/2013,RUB,RU,RUB,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,6,0,01/05/2013,01/05/2013,USD,TH,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,25,0,01/05/2013,01/05/2013,ZAR,ZA,ZAR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,11,0,01/05/2013,01/05/2013,EUR,PT,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,1,0,01/05/2013,01/05/2013,USD,MO,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,18,0,01/05/2013,01/05/2013,SEK,SE,SEK,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,38,0,01/05/2013,01/05/2013,EUR,DE,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,85,0,01/05/2013,01/05/2013,EUR,FR,EUR,400442503,0, , , , 
APPLE,US,uk.co.dailymail.monthly, ,Daily Mail Subscriptions_200_30, ,IAY,2,7.91,01/05/2013,01/05/2013,EUR,DE,EUR,451693187,12.99, ,4794K88545,Renewal,1 Month
APPLE,US,iReporterBrentwoodGazette001,Associated Northcliffe Digital Limited,"iReporter, Brentwood Gazette",1,1,1,0,01/05/2013,01/05/2013,GBP,GB,GBP,460325830,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,2,0,01/05/2013,01/05/2013,USD,CL,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,1,0,01/05/2013,01/05/2013,USD,TC,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,1,0,01/05/2013,01/05/2013,USD,NI,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,3,0,01/05/2013,01/05/2013,USD,TT,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,1,0,01/05/2013,01/05/2013,USD,VG,USD,400442503,0, , , , 
APPLE,US,xw_C_10, ,MOS_Crossword_C_10, ,IA1,1,0.54,01/05/2013,01/05/2013,EUR,IE,EUR,456229054,0.89, ,com.mos.crossword, , 
